CSV.file,ZTTol_A,A1,ZTTol_all,all1,density
UP，IVH_3d_3_130，VL_I，Nlgn1_Nrxn1.csv,3.9745042492917846,353,4.219063545150502,2990,0.9420346972162057
UP，IVH_3d_3_130，VL_I，Nlgn2_Nrxn1.csv,4.070821529745042,353,4.296655518394648,2990,0.9474395869804372
UP，IVH_3d_3_130，VL_I，Nlgn3_Nrxn1.csv,3.963172804532578,353,4.263210702341137,2990,0.929621611795121
UP，IVH_3d_3_130，VL_I，Nptx1_Nptxr.csv,5.351274787535411,353,4.510033444816053,2990,1.1865266306808218
UP，IVH_3d_3_130，VL_I，Nptx2_Nptxr.csv,4.422096317280453,353,4.316053511705686,2990,1.0245693908305737
UP，IVH_3d_3_130，VL_I，Nxph1_Nrxn1.csv,3.869688385269122,353,4.107692307692307,2990,0.9420589701966028
UP，IVH_3d_3_130，VL_I，Nxph2_Nrxn1.csv,3.2917847025495752,353,3.4073578595317726,2990,0.9660812976661984
UP，IVH_3d_3_130，VL_I，Nxph3_Nrxn1.csv,3.263456090651558,353,3.851505016722408,2990,0.8473197039812572
UP，IVH_3d_3_130，VL_I，Ptn_Alk.csv,4.0,353,4.0,2990,1.0
UP，IVH_3d_3_130，VL_I，Ptn_Nrp1.csv,3.3909348441926346,353,3.2083612040133778,2990,1.056905575329509
UP，IVH_3d_3_130，VL_I，Ptn_Ptprb.csv,4.209631728045326,353,3.862876254180602,2990,1.0897661356584871
UP，IVH_3d_3_130，VL_I，Ptn_Ptprz1.csv,4.909348441926346,353,4.182274247491639,2990,1.1738466086653156
UP，IVH_3d_3_130，VL_I，Ptn_Sdc1.csv,3.5042492917847023,353,3.337123745819398,2990,1.0500807158184267
UP，IVH_3d_3_130，VL_I，Ptn_Sdc2.csv,4.46742209631728,353,4.07056856187291,2990,1.0974933915034646
UP，IVH_3d_3_130，VL_I，Ptn_Sdc4.csv,4.878186968838527,353,4.120401337792642,2990,1.1839106361061036
UP，IVH_3d_3_130，VL_I，Sema3c_Plxnd1.csv,3.7535410764872523,353,3.7331103678929765,2990,1.0054728380842937
UP，IVH_3d_3_130，VL_I，Sema3e_Plxnd1.csv,3.68271954674221,353,3.8234113712374582,2990,0.9632025406542344
UP，IVH_3d_3_130，VL_I，Sema4a_Plxnd1.csv,3.8526912181303117,353,4.077257525083612,2990,0.9449222165703907
UP，IVH_3d_3_130，VL_I，Sytl3_Nrxn1.csv,3.2776203966005664,353,3.124749163879599,2990,1.0489227213781112
